Input Size,Slave Count,Run 1,Run 2,Run 3
4000,2,0.082873,0.081580,0.082021
4000,4,0.095841,0.097779,0.097638
4000,8,0.108637,0.107154,0.106731
4000,16,0.125025,0.127833,0.124577
8000,2,0.338709,0.312456,0.309677
8000,4,0.368174,0.368523,0.371432
8000,8,0.411012,0.412205,0.415354
8000,16,0.480566,0.478878,0.481790
16000,2,1.219563,1.221674,1.206343
16000,4,1.452469,1.437085,1.434027
16000,8,1.602995,1.609035,1.600319
16000,16,1.908133,1.914607,2.021184
